	Bit_1	Bit_2	Bit_3	Bit_4	Bit_5	Bit_6	Bit_7	Bit_8	Bit_9	Bit_10	Bit_11	Bit_12	Bit_13	Bit_14	Bit_15	Bit_16	Bit_17	Bit_18
210 PRT Mecom Gaba	839	1701	5545	8072	6981	1846	2791	46859	1661	4007	13868	1181	120307	235	15003	1561	25293	11460
211 SC Tnnt1 Gli3 Gaba	852	1756	2651	5983	3548	1424	1173	39221	1135	3609	7798	839	81087	232	7648	1264	15831	7245
212 SCs Lef1 Gli3 Gaba	1722	1294	3994	6177	4585	1492	1803	43603	1426	3273	10317	1187	103983	233	10938	1177	20447	9815
213 SCsg Gabrr2 Gaba	1200	1703	3713	4864	3287	1227	1129	42319	1471	3454	8608	1317	95142	676	10190	1330	15597	8488
214 IPN Otp Crisp1 Gaba	1725	1993	5371	7306	6759	3855	1590	112547	2352	2885	13137	2001	133702	240	16791	2010	25278	11731
215 SNc-VTA-RAmb Foxa1 Dopa	10038	6786	8476	21409	28132	4927	3062	227486	5824	15389	48037	3960	257895	607	54325	4785	97195	38788
216 MB-MY Tph2 Glut-Sero	3226	2378	7977	15670	24506	3733	2832	133309	6579	7779	38963	2845	176355	359	45496	3795	66149	33570
217 PB Lmx1a Glut	2469	2341	10468	10469	12311	4184	3711	101799	4766	6041	21747	2011	179936	475	29001	2526	38951	19081
218 PSV Lmx1a Trpv6 Glut	1300	1563	5550	7122	7603	1681	4167	66965	2419	3648	14319	1669	125857	568	18332	1940	25061	13360
219 PB-SUT Tlx3 Lhx2 Glut	2076	2989	9505	7957	9582	3509	6196	73259	2805	4762	16953	2182	156708	322	23377	2315	30464	15085
220 PB Pax5 Glut	2365	1862	8271	7965	9505	2700	3155	62787	2474	4211	17152	2063	137025	340	23215	2090	29884	14738
221 LDT-PCG Vsx2 Lhx4 Glut	1567	1887	6392	7561	7958	2002	3701	63422	2486	3842	14265	1642	130444	294	18677	1850	25477	12572
222 PB Evx2 Glut	2598	3431	8593	10626	12316	2994	5494	81823	3748	5788	21721	2064	165966	483	28258	2657	39129	18314
223 B-PB Nr4a2 Glut	3045	2438	9257	13893	18415	2297	4315	97535	4811	6810	29666	2521	204338	512	37138	3248	55809	24667
224 PCG-PRNr Vsx2 Nkx6-1 Glut	1713	2238	7540	10963	10238	1847	3861	74899	2807	5494	19025	1765	159372	315	21183	2285	36756	16308
225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut	1275	1325	5789	6824	7039	2412	2957	70461	2840	3341	12570	1410	116939	262	17097	1720	22780	11609
226 PRNc-PARN Tlx1 Glut	1593	2093	7296	8717	10470	2468	3228	65613	3894	4529	18275	2081	142230	289	23320	2128	31180	17154
227 PB-PSV Phox2b Glut	1265	2723	7717	7336	8700	1979	4425	58391	2148	4470	15258	1537	124002	274	21132	1750	27315	14300
228 PSV Pvalb Lhx2 Glut	1484	1539	9568	15508	6552	1581	1206	95955	2942	5486	16157	1695	98415	213	9567	1808	39812	16856
229 PB-NTS Phox2b Ebf3 Lmx1b Glut	1390	1985	8334	7900	10227	2756	4180	73365	3110	3398	17325	1766	142675	463	24097	2061	30383	15405
230 PRNr Otp Nfib Glut	1878	2522	6589	9626	9835	2166	3268	82240	2156	5256	17676	1791	155990	370	22190	2095	32709	15812
231 IPN-LDT Vsx2 Nkx6-1 Glut	2213	2184	6026	10031	8810	2557	4415	67832	2151	5039	17057	1710	141855	273	18907	1732	30871	15031
232 LDT Vsx2 Nkx6-1 Nfib Glut	1345	2629	6948	6592	8029	1668	3659	46128	2012	3429	13975	1500	120239	402	19980	1567	23186	11803
233 NLL-SOC Spp1 Glut	5773	2451	11305	27073	11865	1780	2470	148886	3592	13970	31406	2267	215691	448	19447	3347	77892	24454
234 MEV Ppp1r1c Glut	2679	2578	14049	47499	47558	1956	3673	271630	7585	15656	70211	5097	199915	798	47673	8254	151560	78628
235 PG-TRN-LRN Fat2 Glut	1542	1373	8674	24937	16041	1606	2046	128440	5156	11405	30269	3744	119636	357	21269	2998	65035	32056
236 IRN Vip Glut	3340	2980	10285	9915	9342	2221	3264	65003	2545	4390	19149	1405	133978	494	21021	2132	35654	16977
