	Bit_1	Bit_2	Bit_3	Bit_4	Bit_5	Bit_6	Bit_7	Bit_8	Bit_9	Bit_10	Bit_11	Bit_12	Bit_13	Bit_14	Bit_15	Bit_16	Bit_17	Bit_18
001 CLA-EPd-CTX Car3 Glut	6331	925	7763	4513	4914	5089	912	67664	5790	4212	10499	2062	64522	172	10224	972	18622	11464
002 IT EP-CLA Glut	1729	1527	12573	6334	6509	5324	2877	67712	6612	4511	16223	4575	121158	176	23179	1814	30835	15542
003 L5/6 IT TPE-ENT Glut	960	1061	9928	7293	8156	5112	2555	49620	6388	3843	19275	5035	109176	169	24687	1716	35324	16512
004 L6 IT CTX Glut	711	1000	10063	5171	4220	5334	1201	60832	5565	4769	11519	2986	90395	155	11353	1118	21871	11677
005 L5 IT CTX Glut	818	1162	10469	7264	5578	4143	1433	64829	7470	6278	13950	3223	139220	199	13165	1319	27880	13996
006 L4/5 IT CTX Glut	1122	883	8649	5423	3805	5981	922	55450	6625	3572	10178	1971	96812	140	8931	1028	19450	10827
007 L2/3 IT CTX Glut	1046	1349	12438	4994	3743	7826	2896	75504	7580	4275	11407	2314	110627	189	12945	1295	20711	12256
008 L2/3 IT ENT Glut	1735	1170	8536	6537	4995	4126	1836	36089	5758	4418	14138	3182	116896	191	15862	1369	25886	12152
009 L2/3 IT PIR-ENTl Glut	687	988	7828	4952	4666	6572	1687	49574	4812	4247	12253	2003	96219	192	13533	1228	24107	11444
010 IT AON-TT-DP Glut	491	930	7134	4595	3890	2917	2260	39614	4195	3412	9862	1961	66449	147	11445	985	18731	10516
011 L2 IT ENT-po Glut	1944	1177	10026	11480	9062	4831	621	46355	6521	7633	23192	5951	131487	260	21447	1958	47711	16627
012 MEA Slc17a7 Glut	905	1104	11451	5092	5701	5070	2667	62332	3533	4442	13840	1857	137883	287	23768	2362	25132	12726
013 COAp Grxcr2 Glut	445	558	6427	2817	3256	4921	1497	38454	2055	2328	7863	783	56052	173	12483	1004	13474	8600
014 LA-BLA-BMA-PA Glut	1025	1374	12977	6325	7046	5669	2843	66091	5347	3872	17657	4850	127628	321	27807	2104	32530	16180
015 ENTmv-PA-COAp Glut	385	1192	7367	4583	4675	2858	1875	42045	2574	1794	11153	1947	89166	134	21586	1263	21435	10546
016 CA1-ProS Glut	648	1445	23338	7496	6171	4189	1495	111816	6628	5000	18582	6672	136098	216	25480	1991	36294	16093
017 CA3 Glut	2290	1643	30060	11997	10890	9160	970	135143	6726	9446	31653	8626	144172	364	34669	3461	62378	26629
018 L2 IT PPP-APr Glut	1385	1713	10897	4246	3210	4787	2276	56152	3922	2918	9379	999	122574	161	14132	1158	18264	9968
019 L2/3 IT PPP Glut	1000	1236	9697	5844	4014	3178	1063	61053	4883	4303	11088	2925	114689	174	11956	1248	22326	10154
020 L2/3 IT RSP Glut	609	842	5293	3836	2267	1816	832	48276	2941	2779	5886	776	70050	114	5530	646	11644	6809
021 L4 RSP-ACA Glut	2133	1492	12385	15005	6313	6866	3030	74191	12307	5399	19544	3456	179332	143	14783	2214	42251	22373
022 L5 ET CTX Glut	1209	1397	15671	13105	7865	3416	3618	63991	7788	6229	21631	5437	144087	180	21509	2117	49333	20089
023 SUB-ProS Glut	2132	1832	18877	10939	7702	2412	5186	78879	6393	5874	20183	6101	147022	200	25893	1988	44029	17924
024 L5 PPP Glut	1600	1069	7154	5677	3531	1208	3221	28836	1802	2058	9022	1468	81767	96	9807	1096	19449	8961
025 CA2-FC-IG Glut	2056	1690	26602	10541	8688	3473	1643	116481	5178	9547	27596	4434	128610	366	24759	2610	55920	22489
026 NLOT Rho Glut	1512	1153	8691	5056	5359	3470	1963	46703	5080	4629	13050	3091	84722	222	17726	1392	24607	13084
027 L6b EPd Glut	3627	1355	15828	11243	11238	2443	1583	57590	5499	8186	28526	7688	226264	283	42201	3257	54161	24495
028 L6b/CT ENT Glut	1346	558	7692	3935	3736	1424	1002	31880	3184	3624	10322	3935	104718	107	15000	1118	18426	9419
029 L6b CTX Glut	1106	564	6718	5822	4653	1058	1003	32281	3157	4564	12624	3580	98487	138	14774	1185	23388	11621
030 L6 CT CTX Glut	466	560	9414	5074	3526	1491	515	52802	4031	4747	10394	3515	101176	92	10665	1103	19205	10279
031 CT SUB Glut	743	580	5060	3842	3226	1068	2297	36476	2870	3084	7572	2631	82662	71	9664	819	14179	7238
032 L5 NP CTX Glut	1057	552	3907	5250	2988	1781	427	30673	2086	2996	7638	994	73566	79	7451	984	14411	7627
033 NP SUB Glut	1611	1134	5911	7317	5383	2459	1338	30798	2625	4421	12510	2224	94900	96	12700	1167	24091	11169
034 NP PPP Glut	1090	345	2424	3125	3034	561	316	20530	1568	2397	6360	867	77279	46	6750	669	10744	6672
035 OB Eomes Ms4a15 Glut	2522	1285	3100	8505	5345	956	974	53967	3240	3311	12243	1709	143073	153	11366	1219	27592	12006
036 HPF CR Glut	234	259	782	1531	1548	204	220	43988	498	438	3460	362	19332	60	3273	384	3883	4509
037 DG Glut	690	1260	7136	2114	1999	2311	2377	53205	1319	2348	5314	550	57291	240	7808	1020	9579	5861
038 DG-PIR Ex IMN	359	534	3075	1302	1628	311	830	31516	784	1212	3672	460	29383	95	4110	652	4468	5048
039 OB Meis2 Thsd7b Gaba	1308	2447	1410	3020	1250	309	670	54474	982	1723	3714	785	42922	208	4580	829	6864	3800
040 OB Trdn Gaba	583	1107	1766	1128	773	632	760	41162	1879	935	2203	342	34555	58	2872	542	3824	2405
041 OB-in Frmd7 Gaba	1015	926	2161	2008	739	1161	785	44697	2121	2076	2687	497	39874	76	3381	642	6282	3098
042 OB-out Frmd7 Gaba	625	849	1468	2402	838	533	885	57873	725	2256	2409	399	32265	117	3925	536	4146	2804
043 OB-mi Frmd7 Gaba	1396	2303	3255	6949	1952	852	765	80738	2022	3267	6594	943	60594	108	6336	864	14391	6836
044 OB Dopa-Gaba	1733	815	1792	5090	2323	562	634	82320	1439	2121	5581	864	53097	159	7540	754	11943	5684
045 OB-STR-CTX Inh IMN	400	1043	1111	1515	1698	259	228	29466	841	645	3962	400	25731	125	3371	967	4010	6002
046 Vip Gaba	998	5570	1913	3227	2369	1524	1051	36459	988	1512	5227	497	50464	105	5915	669	8751	5595
047 Sncg Gaba	1329	12892	3571	7254	6073	2423	3006	52547	1337	2376	13050	1014	81035	289	13081	1702	24007	11889
048 RHP-COA Ndnf Gaba	2048	9019	4694	9750	8031	2487	2498	68087	2209	3830	17428	1184	107546	280	18981	2481	33836	14790
049 Lamp5 Gaba	864	2817	2762	4702	2603	791	1091	26632	963	1443	7246	674	49189	80	7344	826	12867	7487
050 Lamp5 Lhx6 Gaba	832	1945	3846	9167	3812	677	5121	53081	1228	2089	10461	815	77352	181	10274	1282	18744	10286
051 Pvalb chandelier Gaba	529	1619	3585	10034	4492	746	2093	53593	1657	2072	10932	812	81468	163	9180	1202	22625	10288
052 Pvalb Gaba	836	1023	4951	11173	4245	1198	2027	42832	1368	2835	11214	997	68299	132	8343	1163	27138	10920
053 Sst Gaba	1657	1200	5248	7243	5211	2173	1400	51249	1651	3534	12228	1159	79379	128	12440	1693	23304	10912
054 STR Prox1 Lhx6 Gaba	1219	2632	9179	17143	6033	1876	4088	77681	3574	4683	18502	2556	146053	294	16256	2207	40463	16538
055 STR Lhx8 Gaba	1705	1986	6377	8751	7051	1328	3526	56963	2991	3713	13939	1968	120291	312	17924	1703	25703	12735
056 Sst Chodl Gaba	1874	1362	4614	7862	8162	1832	3362	71080	2183	4750	14668	1272	97170	267	20127	2553	25799	13126
057 NDB-SI-MA-STRv Lhx8 Gaba	1589	5085	4919	13767	10599	2161	4718	74371	2503	5586	20470	1360	157405	247	21736	2784	41561	16452
058 PAL-STR Gaba-Chol	6682	4005	10625	17229	21598	5404	5592	161394	3598	9509	37212	3415	184285	595	41349	3617	63300	30616
059 GPe-SI Sox6 Cyp26b1 Gaba	1174	4770	5941	12672	9630	1248	2596	79596	2399	5502	20228	1618	138473	252	21530	2263	41930	17047
060 OT D3 Folh1 Gaba	908	1015	4779	3178	1978	3483	760	84516	2467	3920	5757	1056	92763	157	7781	1299	11452	5588
061 STR D1 Gaba	1472	1616	25245	6304	4311	8855	1704	144826	8549	7833	14020	4507	172913	345	15734	1621	26097	12452
062 STR D2 Gaba	1276	1217	23921	6079	3361	9666	1950	144356	8291	6741	12422	3812	159334	308	12771	1434	23089	11352
063 STR D1 Sema5a Gaba	1338	3009	15171	5516	3682	4320	1905	116567	5284	5068	10185	2337	133755	457	13887	1542	19708	9921
064 STR-PAL Chst9 Gaba	1256	1460	5483	3010	2495	1953	1490	62845	3998	2446	6183	1289	75432	259	10305	1566	11337	6192
065 IA Mgp Gaba	1917	3093	6977	5634	4712	1886	3828	49399	3087	3579	11685	1594	90388	197	15721	1649	22825	10708
066 NDB-SI-ant Prdm12 Gaba	1509	2784	9459	11050	7666	2210	4194	63236	4821	5746	17404	1828	132486	270	19866	1894	33822	15128
067 LSX Sall3 Pax6 Gaba	2886	1214	6340	4699	4137	2803	2296	48276	2450	2021	9759	1466	84520	129	14995	1333	17227	9181
068 LSX Otx2 Gaba	954	1165	6711	5240	5165	1454	1235	41688	2151	1787	11296	1599	91419	265	16476	1459	18737	10039
069 LSX Nkx2-1 Gaba	928	1421	10220	6263	4895	2088	2408	56115	2473	2747	12809	2372	97607	272	17109	1574	21553	13133
070 LSX Prdm12 Slit2 Gaba	1490	1587	11905	7998	6396	2482	3164	60937	3994	3203	15827	2649	113842	352	21197	1666	27422	14618
071 LSX Prdm12 Zeb2 Gaba	1564	1439	16689	8046	6924	3287	3270	80983	3967	3803	18219	3534	111014	604	24752	1997	32151	16473
072 LSX Sall3 Lmo1 Gaba	1101	1507	11081	7106	4702	2686	1977	62115	2565	3615	12677	2356	93608	351	15643	1582	22891	14230
073 MEA-BST Sox6 Gaba	1200	2555	8883	5655	6277	2330	2491	45283	2926	2691	13063	1368	119414	248	20940	1700	22855	10890
074 MEA-BST Lhx6 Sp9 Gaba	1164	3185	9160	6690	7670	1970	3654	50624	3292	3048	15031	1405	129482	238	23053	2149	25607	12584
075 MEA-BST Lhx6 Nr2e1 Gaba	1011	2614	8135	6890	7799	1659	2232	37399	2365	2674	15111	1638	129439	243	21492	2129	26178	11934
076 MEA-BST Lhx6 Nfib Gaba	1237	1251	7679	6296	6596	1343	3046	48768	2602	1940	13250	1180	125862	175	21872	1868	22020	11380
077 CEA-BST Gal Avp Gaba	1183	2612	6427	7588	12170	1738	2615	54604	2751	2399	17578	1904	114163	959	28134	2782	26808	17374
078 SI-MA-ACB Ebf1 Bnc2 Gaba	1060	3936	6041	7924	7991	1727	3050	52684	1985	3953	14446	1526	121677	276	18787	1815	25229	12582
079 CEA-BST Six3 Cyp26b1 Gaba	1168	1175	12032	5696	6193	3126	2987	58652	3860	3109	15171	2571	125893	279	26137	2034	26014	13245
080 CEA-AAA-BST Six3 Sp9 Gaba	1098	1343	8923	4823	5528	1978	2599	50499	3136	2677	11634	1457	98932	199	18747	1556	20055	10532
081 ACB-BST-FS D1 Gaba	1089	1881	9311	5295	6486	2055	4616	54276	2847	2523	13206	1996	116958	291	22886	1640	22323	11738
082 CEA-BST Ebf1 Pdyn Gaba	1371	1661	10999	6830	8164	3625	3226	56746	4227	3271	17552	2653	139491	298	26904	1911	30696	14769
083 CEA-BST Rai14 Pdyn Crh Gaba	1187	1480	11937	6562	6233	4847	1658	59736	4659	3703	14417	2887	135769	195	20609	1742	25662	13833
084 BST-SI-AAA Six3 Slc22a3 Gaba	1008	2365	5613	7622	7752	1639	2000	50317	1834	3649	13968	1273	114618	286	19266	2185	25523	12473
085 SI-MPO-LPO Lhx8 Gaba	1363	3367	6205	11658	10790	2021	4310	59109	2992	3470	19742	1994	146294	280	23773	2577	35628	16545
086 MPO-ADP Lhx8 Gaba	1127	3229	3983	7797	7796	1118	2468	46584	1776	2431	14065	1273	115872	261	18634	1639	24684	12216
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba	689	1039	5043	6492	7263	972	3187	40414	1419	2067	12452	1016	107533	125	17159	1676	21986	11318
088 BST Tac2 Gaba	1052	1599	7945	6832	8289	1599	1933	37048	2132	3042	15921	1567	120182	351	21964	1894	25678	14063
089 PVR Six3 Sox3 Gaba	807	1188	3227	6046	5894	927	1809	45177	1579	1982	10992	979	92181	272	14225	1291	19388	10205
090 BST-MPN Six3 Nrgn Gaba	801	1129	5903	4929	5911	1293	2263	39832	1835	2088	11203	1150	102148	218	17756	1351	17968	10358
091 ARH-PVi Six6 Dopa-Gaba	1828	1332	2736	4272	6557	1823	2391	40842	2192	2090	11363	913	78648	148	16827	1173	16604	11225
092 TMv-PMv Tbx3 Hist-Gaba	1523	1928	4299	8624	13938	1889	5777	73988	2986	3405	22342	1603	101425	173	26822	2128	34297	23052
093 RT-ZI Gnb3 Gaba	718	942	3957	10662	5544	1859	941	48905	1331	3081	13335	1032	90541	197	11349	1387	31001	12261
094 SCH Six6 Cdc14a Gaba	296	352	1056	2200	2655	368	392	68330	1689	556	4516	481	39333	126	7450	554	6679	5575
095 DMH Prdm13 Gaba	591	889	1948	3042	3977	886	1650	26691	1367	1270	7000	655	64442	88	11063	876	10168	7160
096 PVHd Gsc Gaba	655	813	3675	3819	4673	2042	1538	28923	1552	1870	7812	809	70581	71	12601	819	13419	7746
097 PVHd-SBPV Six3 Prox1 Gaba	673	1052	2894	3993	4272	862	1194	27628	1070	1403	7668	792	65094	138	11126	970	13021	7378
098 AHN-SBPV-PVHd Pdrm12 Gaba	526	912	2924	4969	4611	825	2017	28578	1183	1543	8782	808	71663	135	11793	1035	15445	8379
099 SBPV-PVa Six6 Satb2 Gaba	592	658	2411	3362	4383	756	1307	35247	1187	1660	7933	715	68816	115	11914	864	11895	7888
100 AHN Onecut3 Gaba	566	1685	3287	5377	5632	951	1488	32445	1214	1809	10024	937	78813	168	12722	1182	17573	9423
101 ZI Pax6 Gaba	695	1237	3667	7810	5957	1014	2269	34447	1537	3062	12168	933	90366	155	12562	1226	23530	10679
102 DMH-LHA Gsx1 Gaba	878	1185	3948	5146	5957	1506	2097	36204	1584	2025	10720	964	83645	262	14652	1258	17341	11107
103 PVHd-DMH Lhx6 Gaba	781	1526	3705	6596	6290	1068	2195	40167	1606	2649	11484	1022	91460	199	14619	1318	20832	10329
104 TU-ARH Otp Six6 Gaba	990	1169	4893	5077	6506	2124	2064	42143	2352	2269	11821	1224	92092	168	17170	1345	18635	12331
105 TMd-DMH Foxd2 Gaba	1373	1331	3020	4635	5665	2249	1570	43622	1765	1891	9403	831	79266	148	15940	1031	14373	9970
106 PVpo-VMPO-MPN Hmx2 Gaba	1060	2203	4679	6559	8678	1659	3124	40866	2624	2626	14599	1341	103695	260	20798	1577	23605	13829
107 DMH Hmx2 Gaba	998	1706	4177	5604	6526	1368	2929	34268	2138	2063	11381	1032	89679	211	16351	1220	18425	11017
108 ARH-PVp Tbx3 Gaba	954	1070	3638	4323	6011	1123	1275	39444	2085	1570	10506	874	76317	182	15164	1211	14952	11616
109 LGv-ZI Otx2 Gaba	659	1537	4651	6443	4711	1206	2857	30826	1513	2901	10299	1076	81089	169	10948	1118	21265	8907
110 BST-po Iigp1 Glut	876	1244	6686	3644	2324	3049	2109	24504	2815	1991	5965	391	79978	208	9202	931	11009	6692
111 TRS-BAC Sln Glut	714	666	2397	5020	4030	4501	373	64098	2191	4397	7639	1678	99919	94	7554	985	13907	9067
112 GPi Tbr1 Cngb3 Gaba-Glut	2258	2923	4373	11958	8089	1352	2997	63549	2792	4856	17460	1495	117950	209	15162	1658	34930	14129
113 MEA-COA-BMA Ccdc42 Glut	808	1827	8822	4161	5520	2820	1676	39140	3136	2331	10361	1262	98003	223	17786	1296	18028	9659
114 COAa-PAA-MEA Barhl2 Glut	1941	1436	9808	6640	7180	4558	2596	53521	3873	4700	16012	1528	119158	242	20300	1685	28696	13921
115 MS-SF Bsx Glut	1483	1594	7255	7745	8671	2152	4195	59837	2442	3553	15300	1372	125236	361	20343	1979	26764	13200
116 AVPV-MEPO-SFO Tbr1 Glut	1253	1834	5394	6056	8687	1153	3680	53840	2987	2265	14591	1475	117511	287	22120	1471	22831	13527
117 LHA Barhl2 Glut	1050	1444	4879	7140	7257	1707	1883	35333	1819	2732	13064	1240	98852	230	17067	1425	23741	12342
118 ADP-MPO Trp73 Glut	1425	1576	4103	8801	7758	1373	2828	50045	2202	2990	14385	1298	109536	216	18104	1651	26945	12685
119 SI-MA-LPO-LHA Skor1 Glut	1310	1436	5116	8433	6857	2014	3544	45535	1945	3273	13780	1230	113734	275	16520	1730	24885	12639
120 MEA Otp Foxp2 Glut	1876	1871	13755	6481	9285	4030	2141	51963	3041	3824	16658	2255	174056	767	26281	2168	29957	14359
121 MEA-BST Otp Zic2 Glut	1311	1643	10138	5815	7286	3074	3692	41456	2633	2839	13487	1493	133517	244	23278	1924	23392	11737
122 LHA-MEA Otp Glut	1503	2234	7567	5946	7740	2178	2973	36391	2751	2474	13711	1503	112638	279	21576	1727	22892	12322
123 DMH Nkx2-4 Glut	541	714	2743	2861	3942	1229	354	38803	1724	1330	7003	713	66545	107	11460	963	10245	7541
124 MPN-MPO-PVpo Hmx2 Glut	1327	1367	5219	5480	7819	1718	2206	39507	2304	2235	12988	1292	97911	250	20004	1498	20809	12211
125 DMH Hmx2 Glut	2098	987	3158	4976	6534	1374	1699	36262	2182	1412	10373	1082	89981	300	16902	1216	16090	10403
126 ARH-PVp Tbx3 Glut	1668	1009	3555	4951	6986	1322	1694	41158	2488	1602	11823	1061	78163	164	16557	1248	17796	13055
127 DMH-LHA Vgll2 Glut	1561	1096	3507	6427	14646	1540	1602	55850	11941	2535	18280	1323	68423	236	21560	1740	26765	16246
128 VMH Fezf1 Glut	1141	1773	6222	5223	7049	1758	1653	33390	2185	1934	12547	1415	101202	222	20016	1690	20938	12033
129 VMH Nr5a1 Glut	768	1373	7553	5152	6408	1820	1698	37683	1942	2199	11937	1372	93262	164	18600	1451	20098	11129
130 LHA Pmch Glut	1986	1715	6385	7263	12570	2514	4285	61935	2145	3581	20210	1315	115233	269	26201	2344	30000	19605
131 LHA-AHN-PVH Otp Trh Glut	987	1484	3500	5074	6796	1389	2340	33442	2427	1907	11318	1085	75863	183	15908	1354	18030	11596
132 AHN-RCH-LHA Otp Fezf1 Glut	838	1298	4836	5910	6866	1985	2388	35914	1788	2513	12174	1274	97422	283	17209	1446	21437	11574
133 PVH-SO-PVa Otp Glut	898	1537	2978	5185	6884	1320	2160	43707	2415	1957	11850	973	69685	210	15776	1371	17553	12394
134 PH-ant-LHA Otp Bsx Glut	1332	1649	4230	5965	6881	1562	2430	41218	1997	2352	12004	1175	91981	259	15983	1304	19998	11750
135 STN-PSTN Pitx2 Glut	1341	1582	6296	8792	7222	1998	3142	43997	2508	3537	14034	1487	99480	225	16830	1537	27483	12152
136 PMv-TMv Pitx2 Glut	1680	1087	5797	5497	7751	2153	2181	38492	2832	2427	13721	1404	96009	328	21149	1646	22760	12077
137 PH-an Pitx2 Glut	953	1155	3585	4322	5396	1367	2633	37650	1751	1917	9353	1147	81748	269	13259	1041	14795	9184
138 PH Pitx2 Glut	1470	2107	5106	6111	7190	1882	3133	40577	2590	2581	12419	1445	97730	248	18034	1462	21320	12072
139 PH-LHA Foxb1 Glut	1293	2121	5535	6723	6851	1867	4203	44335	2378	3136	12344	1460	107143	218	16718	1514	22500	11731
140 PMd-LHA Foxb1 Glut	1737	1245	4254	5478	6673	1964	2117	45710	2280	2817	11178	1165	86275	202	15143	1540	19639	10514
141 PH-SUM Foxa1 Glut	1741	1349	4431	5645	7289	2043	2119	46441	2554	2669	12079	1539	89767	236	17850	1463	20724	11333
142 HY Gnrh1 Glut	724	723	2459	5149	9372	2523	945	91938	2498	1749	14078	1100	62986	765	14742	1307	15046	18384
143 MM-ant Foxb1 Glut	1037	2474	4957	5950	5643	4202	2388	46620	2817	4024	10836	1368	102214	188	11903	1443	19841	10165
144 MM Foxb1 Glut	1517	2633	4893	8243	6714	6996	3791	59830	3611	6485	13764	1706	144823	186	12833	1761	27295	13331
145 MH Tac2 Glut	4090	1144	1670	4357	4051	1149	531	48938	1434	3971	8524	1763	71906	772	7949	1228	14641	7711
146 LH Pou4f1 Sox1 Glut	2797	955	2397	6638	5406	1135	1234	43370	1913	3291	10750	1404	74666	500	11279	1442	20377	9944
147 AD Serpinb7 Glut	2307	2163	10897	16069	10356	2591	1687	91250	2501	7271	24917	2258	118879	282	21465	2166	59836	20951
148 AV Col27a1 Glut	1802	2199	8497	10490	5747	1243	1106	79464	2338	6755	16761	2381	133126	150	14150	1625	38900	16122
149 PVT-PT Ntrk1 Glut	2547	1915	5617	7915	9077	6667	3319	49792	3397	2374	17457	2257	111137	223	25814	1655	30376	16055
150 CM-IAD-CL-PCN Sema5b Glut	2005	1574	6421	7557	6350	4056	1473	39927	2612	4136	14622	1726	92037	174	16100	1351	29316	13639
151 TH Prkcd Grin2c Glut	2049	3553	11574	11182	5823	2058	1637	43960	4497	9079	18625	2820	115826	176	12886	1943	43613	16540
152 RE-Xi Nox4 Glut	1290	1372	5690	6448	6282	3355	2058	35294	2945	3358	13476	1664	91030	170	14903	1638	24947	13693
153 MG-POL-SGN Nts Glut	1183	1433	5340	5621	4639	2843	1513	34831	2513	3214	10794	1154	79915	176	11768	1227	20739	10549
154 PF Fzd5 Glut	2787	1179	8971	8240	8075	2083	2414	56670	3435	5068	15767	1973	87453	185	14515	1630	30256	15585
155 PRC-PAG Pax6 Glut	1506	1733	6075	7681	8456	1844	3470	45060	2470	3366	15604	1601	123008	285	19935	1745	27576	13361
156 MB-ant-ve Dmrta2 Glut	2210	2463	8016	11568	11233	2327	3969	60671	3541	5053	21184	2158	141947	289	24131	2259	39211	18293
158 MRN-PAG Nkx6-1 Glut	1271	2272	5537	7402	8199	1538	3166	40128	2417	3755	14547	1565	118740	284	19608	1683	25198	12602
159 IF-RL-CLI-PAG Foxa1 Glut	1705	1873	5268	8212	8509	1696	2729	65234	2961	3866	14956	1791	109375	359	19780	1842	27179	12995
160 PAG-SC Neurod2 Meis2 Glut	1601	1532	4904	7559	7297	1630	3725	61325	2158	3917	13731	1674	124928	380	16423	1644	25760	12011
161 PAG Pou4f3 Glut	1533	1593	6627	8975	8358	1504	3941	60881	2094	3972	15949	1672	121079	323	18716	1753	30099	13788
162 CUN Evx2 Lhx2 Glut	1694	1715	7497	8538	9655	2369	3489	55575	2177	4338	17123	1842	128985	457	22419	2058	30161	15453
163 APN C1ql2 Glut	940	1789	3376	6974	5298	1130	2189	47192	1989	3945	10935	1223	120995	255	10539	1240	22042	9085
164 APN C1ql4 Glut	794	1311	3844	7209	5181	1166	3285	36776	1523	4244	10308	1200	98242	220	10056	1318	21288	9724
165 PAG-MRN Pou3f1 Glut	2473	1718	7838	9767	12198	3446	3408	68934	4212	4960	20106	2242	153348	548	27445	2520	35437	17540
166 MRN Pou3f1 C1ql4 Glut	1946	2075	7348	10637	9954	2363	4725	65579	3641	4855	18961	2065	145701	316	21166	2104	36595	16855
167 PRC-PAG Tcf7l2 Irx2 Glut	996	1322	4541	6034	6681	1521	2488	38658	1711	2770	11737	1347	92364	253	15328	1344	20858	10841
