	RS0095_cy5	RS0109_cy5	RS0175_cy5	RS0332_cy5	RSN2336.0_cy5	RS0384_cy5	RS0406_cy5	RS0451_cy5	RS0468_cy5	RS64.0_cy5	RS278.0_cy5	RS313.0_cy5	RS643.0_cy5	RS740.0_cy5	RS810.0_cy5	RS0083_SS_Cy5	RS0255_SS_Cy5	RS0639_SS_Cy5
Tll1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0
Igf2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0
Met	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0
Mctp2	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Megf11	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0
Fibcd1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
Tacr1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Sv2b	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
Oxtr	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Dock5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Dscaml1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0
Gpr101	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Kcnk9	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Tshz2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
Blank-2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
Dgkk	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
Adgrv1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
Nos1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
Tbx3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
Cdh6	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
Clic5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
Cyp26b1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
Vcan	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
Htr1b	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
Zfhx4	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
Zeb2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
Col11a1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
Col24a1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
Adra1a	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Bmpr1b	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
Col18a1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
Aqp4	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Nwd2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
Kcnh8	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Chrnb3	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
Slc7a11	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Nrp1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
Slit2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Svep1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Grik3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Mdga1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Unc5d	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Ltbp1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Tal1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
Slit3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
Gabrq	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
Epha4	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
Col27a1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
Foxo1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Sv2c	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Corin	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
Hmcn1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
Blank-3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
Rxfp3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Epha3	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
St18	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Ccn4	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
Adamtsl1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
Ttc6	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Grm1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Wls	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Klhl14	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Trhde	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Lypd1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Scn5a	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Blank-9	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Ebf1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Zfpm2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Nfib	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Fbln2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Blank-4	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Osbpl3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Tmem132c	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Mecom	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lama1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Blank-7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Ret	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
Blank-12	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
Nfix	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Blank-5	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
Egflam	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
Igsf1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
Adamts2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
Lmo3	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
Ankfn1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
Blank-15	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
Ntn1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Kcnj5	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Sox5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
Lhx9	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
Unc13c	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
Glis3	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
Syt2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Blank-8	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
Fosl2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Cftr	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
Ndnf	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Col8a1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Zfp521	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Dmbx1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Kit	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Zfp536	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Hs3st3b1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Reln	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Fbn2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Esyt3	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Ccnd2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Otof	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Fras1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Blank-17	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Blank-14	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Blank-11	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Tent5a	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Rxfp1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Vwc2l	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Rorb	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
